UserID,Username,Email,First Name,Last Name,Mobile Number,Gender,Age,Persona,Discount Persona
1,user1,mark.johnson@example.com,Mark,Johnson,001-758-240-7707x011,M,31,furniture_homedecor_housewares,lower_priced_products
2,user2,kristen.calderon@example.com,Kristen,Calderon,788.169.0918x44779,F,58,tools_housewares_apparel,discount_indifferent
3,user3,joseph.maddox@example.com,Joseph,Maddox,2635858312,M,43,floral_beauty_jewelry,lower_priced_products
4,user4,jay.lewis@example.com,Jay,Lewis,001-657-307-5689x149,M,38,books_apparel_homedecor,discount_indifferent
5,user5,anthony.valdez@example.com,Anthony,Valdez,+1-121-135-2022x7864,M,24,instruments_books_electronics,discount_indifferent
6,user6,matthew.tucker@example.com,Matthew,Tucker,+1-015-852-6356x756,M,24,furniture_homedecor_housewares,lower_priced_products
7,user7,jeffrey.daniels@example.com,Jeffrey,Daniels,002-587-1569,M,20,books_apparel_homedecor,discount_indifferent
8,user8,rachel.jenkins@example.com,Rachel,Jenkins,+1-874-808-9148x83087,F,50,electronics_outdoors_footwear,discount_indifferent
9,user9,dustin.jordan@example.com,Dustin,Jordan,+1-417-789-8460x6011,M,38,books_apparel_homedecor,all_discounts
10,user10,colleen.brock@example.com,Colleen,Brock,(642)287-5518,F,42,groceries_seasonal_tools,discount_indifferent
11,user11,sandra.price@example.com,Sandra,Price,001-736-438-6229x393,F,18,floral_beauty_jewelry,discount_indifferent
12,user12,maria.taylor@example.com,Maria,Taylor,001-376-806-1512,F,61,floral_beauty_jewelry,all_discounts
13,user13,ashley.johnson@example.com,Ashley,Johnson,001-491-556-3713x45264,F,48,electronics_outdoors_footwear,discount_indifferent
14,user14,karen.joseph@example.com,Karen,Joseph,(000)194-1911,F,26,floral_beauty_jewelry,all_discounts
15,user15,william.tran@example.com,William,Tran,843-436-4014,M,25,seasonal_furniture_floral,lower_priced_products
16,user16,christine.guerrero@example.com,Christine,Guerrero,623.812.6955x0577,F,25,housewares_floral_seasonal,lower_priced_products
17,user17,bobby.williams@example.com,Bobby,Williams,+1-862-766-2100x871,M,29,apparel_footwear_accessories,lower_priced_products
18,user18,dalton.dunn@example.com,Dalton,Dunn,001-446-043-4299,M,36,seasonal_furniture_floral,discount_indifferent
19,user19,colin.terry@example.com,Colin,Terry,823.832.2603,M,33,floral_beauty_jewelry,all_discounts
20,user20,paige.padilla@example.com,Paige,Padilla,(454)829-3147,F,28,beauty_accessories_instruments,lower_priced_products
21,user21,sarah.gonzalez@example.com,Sarah,Gonzalez,650.305.5932x671,F,39,outdoors_instruments_groceries,all_discounts
22,user22,bonnie.ryan@example.com,Bonnie,Ryan,001-914-687-0355x46393,F,23,housewares_floral_seasonal,lower_priced_products
23,user23,marie.wilson@example.com,Marie,Wilson,204-157-2663x59442,F,28,instruments_books_electronics,lower_priced_products
24,user24,sergio.murphy@example.com,Sergio,Murphy,330.709.2899x0718,M,31,tools_housewares_apparel,discount_indifferent
25,user25,jessica.mcguire@example.com,Jessica,Mcguire,587-191-7039,F,33,footwear_jewelry_furniture,all_discounts
26,user26,matthew.walker@example.com,Matthew,Walker,347-459-2451x991,M,45,homedecor_electronics_outdoors,discount_indifferent
27,user27,brian.gregory@example.com,Brian,Gregory,7472620011,M,25,apparel_footwear_accessories,all_discounts
28,user28,ashley.smith@example.com,Ashley,Smith,001-887-660-2781,F,35,electronics_outdoors_footwear,discount_indifferent
29,user29,mark.marshall@example.com,Mark,Marshall,852.044.0543x50139,M,38,homedecor_electronics_outdoors,discount_indifferent
30,user30,meghan.williams@example.com,Meghan,Williams,(619)141-2510x953,F,20,footwear_jewelry_furniture,lower_priced_products
31,user31,katie.fernandez@example.com,Katie,Fernandez,497.998.3137x35428,F,38,groceries_seasonal_tools,all_discounts
32,user32,christopher.cole@example.com,Christopher,Cole,(321)481-9392x69983,M,24,tools_housewares_apparel,lower_priced_products
33,user33,margaret.dean@example.com,Margaret,Dean,3260619071,F,20,books_apparel_homedecor,lower_priced_products
34,user34,stacey.stewart@example.com,Stacey,Stewart,+1-100-467-9110x729,F,57,accessories_groceries_books,discount_indifferent
35,user35,troy.thomas@example.com,Troy,Thomas,001-645-710-9095x55063,M,60,housewares_tools_beauty,discount_indifferent
36,user36,randy.morrow@example.com,Randy,Morrow,+1-044-632-9703,M,47,floral_beauty_jewelry,discount_indifferent
37,user37,martin.turner@example.com,Martin,Turner,+1-581-987-1607,M,29,books_apparel_homedecor,lower_priced_products
38,user38,jonathan.davis@example.com,Jonathan,Davis,737.244.3418x22211,M,22,footwear_jewelry_furniture,all_discounts
39,user39,teresa.fischer@example.com,Teresa,Fischer,182.939.9660x927,F,41,electronics_outdoors_footwear,lower_priced_products
40,user40,raymond.le@example.com,Raymond,Le,001-169-858-0378x209,M,33,floral_beauty_jewelry,lower_priced_products
41,user41,cynthia.williams@example.com,Cynthia,Williams,9588516688,F,23,homedecor_electronics_outdoors,discount_indifferent
42,user42,alexandra.bradley@example.com,Alexandra,Bradley,596-962-1014x927,F,35,books_apparel_homedecor,discount_indifferent
43,user43,melissa.brown@example.com,Melissa,Brown,+1-064-700-0712x6848,F,19,furniture_homedecor_housewares,lower_priced_products
44,user44,jessica.frazier@example.com,Jessica,Frazier,(999)874-1443,F,53,outdoors_instruments_groceries,lower_priced_products
45,user45,andrew.keller@example.com,Andrew,Keller,(311)681-9303,M,27,seasonal_furniture_floral,lower_priced_products
46,user46,joseph.price@example.com,Joseph,Price,308-369-4059x0047,M,40,groceries_seasonal_tools,all_discounts
47,user47,nicholas.bell@example.com,Nicholas,Bell,068-780-2005,M,29,furniture_homedecor_housewares,lower_priced_products
48,user48,marie.johnson@example.com,Marie,Johnson,942.455.7934x4891,F,35,housewares_tools_beauty,discount_indifferent
49,user49,jonathan.mccann@example.com,Jonathan,Mccann,001-320-911-8218x30982,M,36,accessories_groceries_books,all_discounts
50,user50,jeffrey.hawkins@example.com,Jeffrey,Hawkins,+1-463-111-8693x224,M,25,apparel_footwear_accessories,discount_indifferent
51,user51,gary.oliver@example.com,Gary,Oliver,422-071-2262x5606,M,61,instruments_books_electronics,lower_priced_products
52,user52,michelle.gonzales@example.com,Michelle,Gonzales,299-204-1763x1705,F,45,instruments_books_electronics,lower_priced_products
53,user53,brett.walker@example.com,Brett,Walker,740.606.2168x40322,M,56,groceries_seasonal_tools,lower_priced_products
54,user54,victoria.sanchez@example.com,Victoria,Sanchez,001-971-599-4254x77870,F,52,outdoors_instruments_groceries,all_discounts
55,user55,tiffany.washington@example.com,Tiffany,Washington,195-377-6117x242,F,38,housewares_floral_seasonal,lower_priced_products
56,user56,sean.wilson@example.com,Sean,Wilson,102-780-5829x99540,M,54,seasonal_furniture_floral,all_discounts
57,user57,monica.ellis@example.com,Monica,Ellis,001-173-068-5861x69127,F,21,beauty_accessories_instruments,lower_priced_products
58,user58,crystal.davis@example.com,Crystal,Davis,+1-110-126-5452,F,25,floral_beauty_jewelry,discount_indifferent
59,user59,lawrence.lopez@example.com,Lawrence,Lopez,(181)714-1808,M,20,instruments_books_electronics,all_discounts
60,user60,joshua.hernandez@example.com,Joshua,Hernandez,930-647-9601x57173,M,29,tools_housewares_apparel,lower_priced_products
61,user61,christopher.moore@example.com,Christopher,Moore,764.283.1773,M,31,furniture_homedecor_housewares,discount_indifferent
62,user62,richard.stevenson@example.com,Richard,Stevenson,039.201.4442x949,M,28,tools_housewares_apparel,discount_indifferent
63,user63,jesse.ford@example.com,Jesse,Ford,+1-590-666-3519x582,M,48,homedecor_electronics_outdoors,discount_indifferent
64,user64,james.simmons@example.com,James,Simmons,861.086.9405x4557,M,30,electronics_outdoors_footwear,lower_priced_products
65,user65,ariel.sandoval@example.com,Ariel,Sandoval,6846110211,F,28,housewares_floral_seasonal,lower_priced_products
66,user66,scott.yu@example.com,Scott,Yu,+1-908-989-4447,M,36,housewares_tools_beauty,discount_indifferent
67,user67,cynthia.haas@example.com,Cynthia,Haas,001-034-091-3254x26381,F,23,books_apparel_homedecor,discount_indifferent
68,user68,anthony.rivera@example.com,Anthony,Rivera,001-793-023-7509,M,46,floral_beauty_jewelry,lower_priced_products
69,user69,kristy.hernandez@example.com,Kristy,Hernandez,6061320584,F,21,accessories_groceries_books,all_discounts
